,text,rating,label
1644,"If everyone had a life as perfect as this, we would have no wars or crime",2,-1
19143,It is a great 007 parody,5,1
15624,I really enjoyed reading the lighthearted stories,5,1
16478,the sick and lame and bad meds stories just aren't for me,2,-1
17404,"So in a way, it was a good thing this was a short story",1,-1
5159,I didn't really enjoy the stories in this book,1,-1
1864,No where near as Amanda's other books,2,-1
16641,You guys are great authors but you take to long to finish your books,2,-1
2626,A bit unstructured and an unnecessary flashback of Caleb that did not fit in,2,-1
6090,I loved the setting and the insane chemistry between the hero and heroine,5,1
2246,"Although I have read many time-travel romances, I'm not into Science Fiction at all",5,1
19499,"I enjoy supernatural, sexy reads, but his seemed to be missing something else, can't put my finger on it though",2,-1
2227,"I understand these are Aesops fables, but I don't think it is for young children",2,-1
7708,the author has been able to keep  twists and turns of a modern story completely within reasonable boundaries leaving threads connecting each novel leading to a surprising ending,4,1
13231,The concept of the story was different and refreshing,2,-1
3929,I couldn't have cared less about the characters and what happened to them,1,-1
18668,"If you need a light, fun book, this is it",5,1
8068,Some are good but many are lame,1,-1
18971,this wasnt a very good book,1,-1
19482,I have to say I was not expecting much so I guess one could say never judge a book by its cover is true in this case,5,1
1303,Read all the books and love them,5,1
2687,It was a really weird book and I did not care for it,2,-1
13738,I was hoping for a shades of grey,1,-1
19126,This series of books just keeps getting better and better and I can't wait to read the continuing series of books to come,5,1
18522,"Story is short which with this story is a good thing, he is a dog and not the four legged kind and she just annoyed me",2,-1
17131,"Although it was a short story, I think a little too short",2,-1
10367,I was a little confused by th grafting of the two short stories,2,-1
8545,"All the elements are their, but the writing was choppy, character development poor, jumped through back story clumsily",2,-1
6694,No wonder she ran away,1,-1
10296,I chose this rating because it has impropriety words in it and is not child appropriate,1,-1
7822,I will not waste another $,2,-1
8704,"When you finally get to the good part, the story ends and you have to get the next book in the series",2,-1
12970,Nothing major happened here but a bunch of stupidity,2,-1
4289,Does not work for me,2,-1
9831,I couldn't get very far because the editing was so bad,1,-1
14983,I enjoyed the premise of the story however the lack of editing prior to publication really detracted from what could've been a really cute tale,2,-1
10361,It is touches your heart,4,1
2378,The story line withall  the characters from the original book was  clever the way they were used,2,-1
306,I read book 1 in this series and liked it a lot,4,1
15018,The characters were not interesting at all,2,-1
18449,It also wasn't really erotic - more like hottish sex and immediate 'ever after' plans,2,-1
3277,If you are into horror then this book is for you,4,1
2401,"I would NEVER recommend it, it was that horrible",1,-1
17618,"Some of the stories weren't bad but I was not impressed enough to pursue reading another story by any of the authors, Too much the same, too much sex not enough character development, not enough suspense",2,-1
6985,I can't say that I liked it,2,-1
16577,"Having now read all of the Donsaii series, I wonder what I'm supposed to do now",5,1
4341,The events and drama started with one mishap and the snowball effect never escalated to anything unbelievable or ridiculous,4,1
11437,Then you drink the water and discard the fruit,2,-1
2255,I thought the first encounter with Sherri was hilarious - wasn't expecting that either,5,1
8005,I skimmed it as the writing didn't flow and could have used some editing,2,-1
12109,THIS AUTHOR IS A GREAT WRITERBUT THIS BOOK WAS MISSING SOMETHINGI WAS SKIPING PAGES JUST TO RUSH THEREAD,2,-1
9339,I enjoyed the premise of the book,4,1
5170,In this historical fiction story the heroine must seek safety for herself and her newborn child,5,1
14359,Although I wished it had been a longer book Celia Kyle did an excellent job writing it,5,1
17801,"What a story of true love, fate and the fight for your true love",4,1
9913,This book was a disappointment for me,2,-1
17333,This is more than a roller coaster ride,5,1
257,Another wonderful love story from Maggie to curl up with,5,1
18174,My grandchildren have enjoyed reading this tale,4,1
9811,This book was very disappointing,2,-1
3395,This was the worst book and I find it amazing that it even became a book,1,-1
4401,I pushed through but I would not read it again,2,-1
8667,You will laugh you but off on how she gets back at Jack later,5,1
3783,I felt this book was such a let down,2,-1
3508,I'm not sure where to start,5,1
18129,This is not a short story or novella,5,1
5094,"A deeply fascinating and enlightening book, TRUE TALES FROM COUNTY JAIL shines a bright light on a dark, dangerous and misunderstood world of marginalized women in our midst",5,1
8925,The book was good but the ending could have been better,2,-1
9233,I love mysteries set in the UK in any era,5,1
6902,The protagonists were too good to be true as well,2,-1
11236,I wish the brief review had advised that this was not a complete story - or somehow I missed the fact,2,-1
6672,But one were the heroine is normal woman with exceptional character and heart,5,1
8651,Romantic and funny with a slight intriguing paranormal-y mystery,5,1
16562,"Could not get into this book, If a book doesn't catch me in the first few pages I put it aside and go to a different book",1,-1
16009,"The story was so predictable that it read like a poor ""Twilight Zone"" episode",2,-1
8229,It was like a never ending roller coaster ride,5,1
1665,"A salacious but strange vignette nothing more, no character development",2,-1
3025,Simply put I really enjoyed these books,5,1
9067,I could not read all of  it,1,-1
1445,Well I figured she came from somewhere but I didn't see a whole kingdom coming,5,1
117,Was not the best book ion the world I had to put it down it got really boring,2,-1
10930,I can't wait to find out what is next,5,1
4287,I just started reading this book and I do not think I will finish,2,-1
8584,I could not stop reading,5,1
5295,not where my taste in reading runs,2,-1
14479,I really liked it but don't care much for cliffhanger add o was not happy with the end,5,1
18078,"Katie Ashley is amazing, I love her writing",5,1
14015,There is great potential but it doesn't reach it,2,-1
18380,I would love to see how this relationship develops,5,1
317,"I liked it a lot, I thought it was very awesome to see/read how Gail and Jim met",5,1
3666,The boring fantasy of a rather silly young woman,1,-1
2466,hope he writes another book that continues the story,4,1
4885,Reasonably strong - if you aren't going to be throwing your Kindle around,5,1
17878,it's a beautiful story with a good plot and very realistic,5,1
1181,"It's funny, sweet, suspenseful, exciting, steamy, defiant, erotic, tense, annoying and just plain good",4,1
12099,I was disappointed in the story,2,-1
19088,This book had beautiful pictures and lots of interesting facts about Coral,5,1
18106,This is such an amazing story,5,1
4853,Didn't even finish book because it was so strange,2,-1
14084,This is no ordinary vampire novel,5,1
4177,It was a slow mover and wasn't really a catch my interest kind of story line,2,-1
1371,I always love waking up to a new Marie Force novel on my kindle,5,1
10102,Read this book when you have plenty of time because it will be hard to put down,5,1
11949,"My favorite genre is western romance, both historical and contemporary",2,-1
1308,I finished the whole story story in less than 15 minutes,2,-1
11725,I haven't used one of these recipes and won't ever,2,-1
6884,I hated Yung and I think it did not go deep enough into the characters,1,-1
8177,Maybe I didn't read the description carefully - but it's BLUE,2,-1
3369,I have not read it yet,1,-1
11590,Enjoyed this addition to the Neighbor from Hell series,4,1
18347,Not what I expected and didn't really care for the porn star storyline,1,-1
13317,Now I read 2 books that bored me,2,-1
5065,Lynne Graham is a good writer and these stories are thoroughly enjoyable,4,1
7758,Lucky to have downloaded it on the FREE Promo Day,5,1
5325,Could not see how the title fit as the characters were never in a service ushering,1,-1
5802,I look forward to reading more of T,5,1
13511,The story itself was unremarkable,1,-1
813,It was also very predictable,2,-1
5878,I looked forward to reading the last book of his series,4,1
10886,Amazon has this book listed at over 140 pages but seemed way shorter than that,2,-1
13492,It wasn't what I thought it would be,2,-1
8132,"No tender feelings, just chemical attraction",1,-1
8743,Can hardly wait for the next one to come out,5,1
5217,I still haven't gotten more than half way through it,2,-1
3543,"this was my favorite KINDRED book, not book #7",5,1
12536,I am looking forward to trying out these tips,5,1
1269,It was kind of all over the place for me so I didn't finish it,2,-1
15424,"type storyline, but it was still a good read",5,1
7289,"Obsessed was good, but his first book was intense",5,1
6540,I had no interest in the story line,2,-1
15084,Looking forward to reading the next and some of the author's other series,4,1
11458,Melanie Schmidt did a good job writing it,5,1
10001,After reading the free sample I decided to buy the book,1,-1
7458,"If you stumble on it, it's a quick read and a bit of period obscures but not much else",2,-1
7305,"some fun adventure, a funny , lively family",4,1
776,"if you like hot, steamy and kilts",5,1
6329,"Certain areas cry out for editing and corrections,  and they are quite annoying",4,1
13057,Loved it and will read more from this writer,5,1
10757,"The excerpt looks tantalizing, and the story would without a doubt be fun, however, whoever sets the price for this stuff needs to be realistic I am not paying between 3 and 28",2,-1
9130,There was nothing particularly wrong with this story,2,-1
2275,"I only read the first story and part of the second, it just bored me to death",1,-1
9147,This book is filled with useful-valuable information that we should all know,5,1
11507,"With no character building, this story went quickly into the lame storyline",1,-1
16693,"what more could a girl ask for  Hot shifters and their mates  excellent stories full of love, romance and of course sexy shifters",5,1
13097,I would recommend this to everyone,5,1
17571,These people had no idea what they wanted,1,-1
10852,Such a good clean book a joy to read,4,1
905,"There were NO photos apart from the one on the cover, and the pictures were unrealistic  and few in number",1,-1
3780,I have published several books using the less complicated process provided by Kindle Direct and CreateSpace,2,-1
8560,This novella is short and sweet,4,1
5852,This book had a nice story flow that kept me interested front start to finish,5,1
19025,He was too careful with Dusty,2,-1
8699,I understand the whole parody thing but there really was no point to this bookwas over the top stupid,1,-1
1254,I did not review this book because I just could not get into it and am not sure if it was the story or the manner it was written,1,-1
3553,Joey is the arrogant guy you love to hate but can't resist,5,1
19549,"Good concept, but then the author made Jacey seem too childish once she and Vaick got to know each other",2,-1
14240,I was quite dissapointed with this book and it's not in the same class as her other books,2,-1
11328,If you have not done so you should really start reading her books,5,1
10279,Complete waste of time downloading this and  reading it,1,-1
14300,"Cliffhanger do not build suspense, words do",1,-1
16759,Would not have ordered if I had known how short the book was,2,-1
3790,Unexpected end but worth reading,5,1
12623,This book could have been cut by a third and NO ONE would have missed it,2,-1
18894,I know this a fetish for some- never has been for me but the material in this ebook was sizzling hot,4,1
6229,I barely got through this book,1,-1
8347,I'm not thoroughly convinced that an editor could salvage this work,1,-1
1455,"The author,Donna K Stevens, has taken his time to compile a good selection of recipes that should appeal to all fathers",5,1
14289,"I thought I would like the on-line paper, but it is not what I had expected",2,-1
56,No long-term commitment to this story- it's just a nice short little erotic story with menage,2,-1
17037,Beautiful little town with a wealth of history blended into a fabulous  novel,5,1
17644,It looks great and gives wonderful protection,5,1
6457,It did not take long to see that this was not my kind of mystery,2,-1
11935,Then I find out that if you want complete book basically you have to pay $4,2,-1
14133,don't waste your time unless you're under the age of twelve,1,-1
2293,And nothing more needs to be said,1,-1
10820,I am so glad that love surpassed it all,5,1
10287,but this mess was truly awful,1,-1
4084,The story is definitely something that a child would find interesting,5,1
9841,I would have given it 5 stars but it was a bit slow for me,4,1
16618,I really enjoy the Nick Caine adventures,5,1
10135,This was an awesome MC read,5,1
13383,Ian and Tatiana were so different and 15 years apart in age but were instantly attracted to each other when they met at his cousin's wedding,5,1
10689,"He never fail when it comes to writing, go read all his books you won't regret it",5,1
13186,Although I have not decided to continue reading the series I did enjoy one and two,4,1
9689,The story line was not very good,1,-1
18167,Warning this is a emotional ride,5,1
4171,"silly, predictable, formulaic so called romances",1,-1
6287,I don't realize at the time of getting this that it was a short story,1,-1
13778,But it seems to be good quality,4,1
12424,A good reafd from the sports side as well and you should give it a go,4,1
5703,At least read your own book and fix the stupid stuff before publishing,2,-1
18649,"Just kind of weird, I need more back story and more about the characters",1,-1
9862,Love to read a book that develops characters swiftly while also revealing a compelling backstory,5,1
13307,It was very well written and enjoyable experience,5,1
17955,"We appreciated me and my son, after returning from a holiday by the sea",5,1
14,I enjoyed it very much,5,1
9958,The book tackles this tough profession and breaks it down so that everyone could understand it and begin a career in real estate,5,1
9402,I really enjoy the story great book,5,1
6888,Please dont waste your dollar,1,-1
14087,Not your ordinary or run of the mill food categories,5,1
19005,"The premise was great, but it fell flat",2,-1
10560,It wasn't keeping my attention or moving fast enough for me,2,-1
15237,"I'm sorry I spent the money on it, mostly because of the amateurish writing and story development",2,-1
14477,"There is romance, some erotica, and suspense - all in all a very enjoyable read",5,1
14489,I stopped reading after the first few pages,1,-1
7003,It's nice to see the insight Four has,4,1
16751,I couldn't get past the sample,2,-1
15506,This second book that continues the story is just as &#34,5,1
5561,I am anxiously looking forward to reading More on what will hopefully become a long series,5,1
2779,"The story isn't bad, but the mistakes in spelling, grammar, and punctuation are distracting and make the story hard to follow",2,-1
9300,Very disappointing to say the least,1,-1
16891,Simply not my cup of tea,2,-1
10984,"This book rambles and babbled about taking 60 seconds to remember something about you and a loved one, and then you know your ""life force""",1,-1
3061,A beautiful inspiring book written by inspiration from nature,5,1
7697,"If you have time and the book is free, this book will pass time",2,-1
10172,"not good, it was too obvious and leading",1,-1
7362,this book gets the job done for what it's intended to do,4,1
6526,But Stanley Hastings was just not as enjoyable,2,-1
4829,I returned it and just stayed with my Paperwhite,2,-1
801,"Oh well, it was free",2,-1
1515,I just couldn't get into this book,1,-1
8024,Can't wait to read the next one in the series,5,1
15570,Bought a slip case to keep it safe from scratches when not in use,5,1
2387,This would be a great start to a new series,5,1
14924,It weird that I would be ask to give a review on a book that I have never heard of much less read,1,-1
13581,Afterwards saw a lot of annoyed reviews on this which were as frustrated as I was,2,-1
18864,I highly recommend reading this book,5,1
